Asset,Method,CAGR,Volatility,Sharpe,Sortino,Max DD,Win Rate,Alpha,Beta
Nifty 50,Strategy,0.0526,0.1419,-0.05,-0.06,-0.3133,0.43,-0.0464,0.6
Nifty 50,Buy & Hold,0.1247,0.1816,0.36,0.57,-0.2934,0.56,0.0,1.0
Bank Nifty,Strategy,0.047,0.1865,-0.07,-0.08,-0.4605,0.42,-0.0527,0.46
Bank Nifty,Buy & Hold,0.1457,0.2725,0.31,0.5,-0.4048,0.57,0.0,1.0
Nifty Next 50,Strategy,0.1026,0.147,0.29,0.38,-0.3513,0.43,-0.0089,0.43
Nifty Next 50,Buy & Hold,0.179,0.2204,0.54,0.93,-0.3579,0.61,0.0,1.0
GoldBees,Strategy,0.1008,0.1328,0.31,0.52,-0.3514,0.47,-0.0144,0.79
GoldBees,Buy & Hold,0.13,0.1488,0.47,0.94,-0.2442,0.6,0.0,1.0
GiltBees,Strategy,0.0277,0.0333,-0.97,-1.4,-0.0458,0.46,-0.0123,0.58
GiltBees,Buy & Hold,0.0255,0.0438,-0.79,-1.1,-0.1713,0.58,0.0,1.0
